Дата;"Реальная сумма";"Планируемая сумма";"Валюта";"Категория";"Описание";"Счёт";"Конверт";"Перевод"		
2026-05-24;"-4.5";"";"azn";"Ребенок";"4.5";"ABB kredit kart";"Резервы";""		
2026-05-24;"";"-20.0";"azn";"Ребенок / Траты";"20";"ASB kart";"Резервы";""		
2026-05-23;"-8.4";"-25.0";"azn";"Продукты";"8.4";"ABB kredit kart";"Резервы";""		
2026-05-22;"-5.0";"-4.0";"azn";"Развлечения и хобби";"5 futbol";"Кошелёк";"Резервы";""		
2026-05-22;"";"-25.0";"azn";"Кафе	 ресторан";"25";"Кошелёк";"Резервы";""	
2026-05-22;"";"-25.0";"azn";"Автомобиль / Бензин";"25";"ASB kart";"Резервы";""		
2026-05-22;"-30.0";"";"azn";"Продукты";"30";"ABB kredit kart";"Резервы";""		
2026-05-22;"-35.6";"";"azn";"Ребенок";"35.6 еда";"ABB kredit kart";"Резервы";""		
2026-05-22;"45.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2026-05-21;"-4.0";"";"azn";"Продукты";"4";"Кошелёк";"Резервы";""		
2026-05-21;"-6.0";"-6.0";"azn";"Платный софт";"6 Yandex Music";"ABB kredit kart";"Резервы";""		
2026-05-21;"-10.0";"-25.0";"azn";"Продукты";"10";"ABB kredit kart";"Резервы";""		
2026-05-21;"";"-100.0";"azn";"Одежда и обувь";"100";"Кошелёк";"Резервы";""		
2026-05-20;"-4.6";"";"azn";"Продукты";"4.6";"Кошелёк";"Резервы";""		
2026-05-20;"-3.0";"";"azn";"Ребенок";"3";"Кошелёк";"Резервы";""		
2026-05-20;"-7.5";"";"azn";"Продукты";"7.5";"ABB kredit kart";"Резервы";""		
2026-05-20;"-30.0";"";"azn";"Медицина / Лечение";"30 infeksionist";"ABB kredit kart";"Резервы";""		
2026-05-20;"700.0";"";"azn";"Проценты и бонусы";"700 дивиденды с акций abb";"DigiHesab Ilqar";"Резервы";""		
2026-05-20;"700.0";"";"azn";"";"";"";"";"DigiHesab Ilqar => Зарубежные акции"		
2026-05-19;"-21.0";"-25.0";"azn";"Продукты";"21";"ABB kredit kart";"Резервы";""		
2026-05-19;"";"-80.0";"azn";"Подарки";"80 в деревню";"ASB kart";"Резервы";""		
2026-05-19;"-40.0";"";"azn";"Ком. услуги / Отопление";"40";"Кошелёк";"Резервы";""		
2026-05-19;"-8.0";"";"azn";"Продукты";"8";"Кошелёк";"Резервы";""		
2026-05-19;"-3.2";"";"azn";"Медицина / Лекарства";"3.2";"ABB kredit kart";"Резервы";""		
2026-05-17;"";"-20.0";"azn";"Ребенок / Траты";"20";"ASB kart";"Резервы";""		
2026-05-16;"-43.0";"-25.0";"azn";"Продукты";"43";"ABB kredit kart";"Резервы";""		
2026-05-15;"-20.0";"";"azn";"Одежда и обувь";"20";"Кошелёк";"Резервы";""		
2026-05-15;"-20.0";"";"azn";"Продукты";"20";"Кошелёк";"Резервы";""		
2026-05-15;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
